ProjectName,Context,DepositType,UnitType,DAACSPhase,Count,ArtifactType,ArtifactCategory
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,Snapper,Faunal
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,Squirrel Fish,Faunal
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,9,Brick Fragment,General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,2,Casting Waste,General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,41,Charcoal,General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,7,Corrosion/Rust,General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,3,"Mortar, architectural",General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,38,Nail,General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,"Screw, unidentified",General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,8,Sheeting,General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,19,"Shell, clam",General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,3,"Shell, conch",General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,4,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,13,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,11,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,2,"Slate, unidentified",General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,Unidentified,General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,4,Wire,General Artifacts
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,"Bottle/Vial, Pharmaceutical",Glass
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,8,"Bottle, Wine style",Glass
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,3,Unidentifiable,Glass
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,"Tobacco Pipe, Bowl, Rim",Tobacco Pipe
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,2,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,003B,Fill,Quadrat/Unit,P02,1,"Utensil, 2 Piece: Unid",Utensil
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,2,British Stoneware,Ceramic
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,6,Creamware,Ceramic
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,8,Pearlware,Ceramic
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,2,Redware,Ceramic
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,1,Whiteware,Ceramic
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,3,Bird,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,12,Bony Fish,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,3,Chicken,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,4,Domestic Pig,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,2,Land Hermit Crabs,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,2,Large Mammal,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,6,Medium Mammal,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,2,Parrotfish,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,1,Sea Bass,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,1,Small Mammal,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,6,Squirrel Fish,Faunal
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,27,Brick Fragment,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,107,Charcoal,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,1,Coral,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,5,Corrosion/Rust,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,1,Escutcheon,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,106,"Mortar, architectural",General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,92,Nail,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,2,Pot/Pan,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,4,Scrap/Waste,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,60,Sheeting,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,3,"Shell, chiton segment",General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,86,"Shell, clam",General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,7,"Shell, conch",General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,26,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,11,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,21,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,2,Strapping,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,4,Wire,General Artifacts
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,11,"Bottle, Wine style",Glass
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,1,Stemware,Glass
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,2,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,1,"Tobacco Pipe, Mouthpiece, Stem",Tobacco Pipe
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,2,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,003C,Fill,Quadrat/Unit,P01,1,"Utensil, 2 Piece: Unid",Utensil
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,6,Creamware,Ceramic
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,7,Pearlware,Ceramic
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,"Refined Earthenware, unidentifiable",Ceramic
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,Atlantic Cod,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,62,Bony Fish,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,Domestic Cow,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,5,Domestic Pig,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,Domestic Sheep or Goat,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,5,Grouper,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,6,Grunt,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,5,Herring,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,Land Crabs,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,5,Land Hermit Crabs,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,2,Large Mammal,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,10,Medium Mammal,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,Porgy,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,9,Sea Bass,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,4,Snapper,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,7,Squirrel Fish,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,5,Triggerfish,Faunal
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,31,Charcoal,General Artifacts
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,Coal,General Artifacts
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,32,Nail,General Artifacts
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,Scrap/Waste,General Artifacts
